altersklasse_covid19,geoRegion,datum,entries,timeframe_all,sumTotal,freq,prct,pop,inz_entries,inzsumTotal,type,type_variant,version,datum_unit,datum_dboardformated,entries_diff_abs,entries_diff_inz,entries_diff_pct,prct_diff
70 - 79,CH,202135,382,TRUE,41319,0.02,2,744449,51.31,5550.28,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-35,88,11.82,29.9,0.3999999999999999
80+,CH,202135,256,TRUE,45270,0.014,1.4000000000000001,471987,54.24,9591.37,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-35,52,11.02,25.5,0.30000000000000027
Unbekannt,CH,202135,3,TRUE,154,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-35,1,NA,50,0
0 - 9,CH,202136,2444,TRUE,24565,0.135,13.5,883904,276.5,2779.15,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,-33,-3.73,-1.3,0.29999999999999893
10 - 19,CH,202136,4205,TRUE,92846,0.232,23.200000000000003,858994,489.53,10808.69,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,-64,-7.45,-1.5,0.40000000000000213
20 - 29,CH,202136,2611,TRUE,145932,0.144,14.399999999999999,1027732,254.05,14199.42,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,-267,-25.98,-9.3,-0.9000000000000004
30 - 39,CH,202136,3115,TRUE,139709,0.172,17.2,1254957,248.22,11132.57,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,-205,-16.33,-6.2,-0.5
40 - 49,CH,202136,2668,TRUE,127979,0.147,14.7,1205539,221.31,10615.92,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,-52,-4.32,-1.9,0.20000000000000107
50 - 59,CH,202136,1635,TRUE,124729,0.09,9,1300012,125.77,9594.45,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,-62,-4.77,-3.7,0
60 - 69,CH,202136,792,TRUE,68246,0.044,4.3999999999999995,991217,79.9,6885.07,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,31,3.13,4.1,0.29999999999999893
70 - 79,CH,202136,356,TRUE,41675,0.02,2,744449,47.82,5598.1,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,-26,-3.49,-6.8,0
80+,CH,202136,313,TRUE,45583,0.017,1.7000000000000002,471987,66.32,9657.68,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,57,12.08,22.3,0.30000000000000004
Unbekannt,CH,202136,8,TRUE,162,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-36,5,NA,166.7,0
0 - 9,CH,202137,1395,TRUE,25960,0.11,11,883904,157.82,2936.97,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-1049,-118.68,-42.9,-2.5
10 - 19,CH,202137,2835,TRUE,95681,0.223,22.3,858994,330.04,11138.73,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-1370,-159.49,-32.6,-0.9000000000000021
20 - 29,CH,202137,2038,TRUE,147970,0.16,16,1027732,198.3,14397.72,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-573,-55.75,-21.9,1.6000000000000014
30 - 39,CH,202137,2154,TRUE,141863,0.169,16.900000000000002,1254957,171.64,11304.21,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-961,-76.58,-30.9,-0.29999999999999716
40 - 49,CH,202137,1905,TRUE,129884,0.15,15,1205539,158.02,10773.94,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-763,-63.29,-28.6,0.3000000000000007
50 - 59,CH,202137,1212,TRUE,125941,0.095,9.5,1300012,93.23,9687.68,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-423,-32.54,-25.9,0.5
60 - 69,CH,202137,582,TRUE,68828,0.046,4.6,991217,58.72,6943.79,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-210,-21.18,-26.5,0.20000000000000018
70 - 79,CH,202137,355,TRUE,42030,0.028,2.8000000000000003,744449,47.69,5645.79,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-1,-0.13,-0.3,0.8000000000000003
80+,CH,202137,240,TRUE,45823,0.019,1.9,471987,50.85,9708.53,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-73,-15.47,-23.3,0.19999999999999973
Unbekannt,CH,202137,4,TRUE,166,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-37,-4,NA,-50,0
0 - 9,CH,202138,903,TRUE,26863,0.097,9.700000000000001,883904,102.16,3039.13,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-492,-55.66,-35.3,-1.299999999999999
10 - 19,CH,202138,1891,TRUE,97572,0.203,20.3,858994,220.14,11358.87,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-944,-109.9,-33.3,-2
20 - 29,CH,202138,1478,TRUE,149448,0.158,15.8,1027732,143.81,14541.53,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-560,-54.49,-27.5,-0.1999999999999993
30 - 39,CH,202138,1587,TRUE,143450,0.17,17,1254957,126.46,11430.67,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-567,-45.18,-26.3,0.09999999999999787
40 - 49,CH,202138,1382,TRUE,131266,0.148,14.799999999999999,1205539,114.64,10888.57,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-523,-43.38,-27.5,-0.20000000000000107
50 - 59,CH,202138,1040,TRUE,126981,0.111,11.1,1300012,80,9767.68,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-172,-13.23,-14.2,1.5999999999999996
60 - 69,CH,202138,537,TRUE,69365,0.058,5.800000000000001,991217,54.18,6997.96,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-45,-4.54,-7.7,1.200000000000001
70 - 79,CH,202138,307,TRUE,42337,0.033,3.3000000000000003,744449,41.24,5687.02,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-48,-6.45,-13.5,0.5
80+,CH,202138,200,TRUE,46023,0.021,2.1,471987,42.37,9750.9,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-40,-8.48,-16.7,0.20000000000000018
Unbekannt,CH,202138,3,TRUE,169,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-38,-1,NA,-25,0
0 - 9,CH,202139,750,TRUE,27613,0.098,9.8,883904,84.85,3123.98,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-153,-17.31,-16.9,0.09999999999999964
10 - 19,CH,202139,1470,TRUE,99042,0.192,19.2,858994,171.13,11530,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-421,-49.01,-22.3,-1.1000000000000014
20 - 29,CH,202139,1140,TRUE,150588,0.149,14.899999999999999,1027732,110.92,14652.46,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-338,-32.89,-22.9,-0.9000000000000021
30 - 39,CH,202139,1309,TRUE,144759,0.171,17.1,1254957,104.31,11534.98,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-278,-22.15,-17.5,0.10000000000000142
40 - 49,CH,202139,1215,TRUE,132481,0.159,15.9,1205539,100.78,10989.36,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-167,-13.86,-12.1,1.1000000000000014
50 - 59,CH,202139,861,TRUE,127842,0.113,11.3,1300012,66.23,9833.91,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-179,-13.77,-17.2,0.20000000000000107
60 - 69,CH,202139,473,TRUE,69838,0.062,6.2,991217,47.72,7045.68,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-64,-6.46,-11.9,0.39999999999999947
70 - 79,CH,202139,240,TRUE,42577,0.031,3.1,744449,32.24,5719.26,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-67,-9,-21.8,-0.20000000000000018
80+,CH,202139,182,TRUE,46205,0.024,2.4,471987,38.56,9789.46,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,-18,-3.81,-9,0.2999999999999998
Unbekannt,CH,202139,7,TRUE,176,0.001,0.1,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-39,4,NA,133.3,0.1
0 - 9,CH,202140,556,TRUE,28169,0.087,8.7,883904,62.9,3186.88,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-194,-21.95,-25.9,-1.1000000000000014
10 - 19,CH,202140,1107,TRUE,100149,0.174,17.4,858994,128.87,11658.87,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-363,-42.26,-24.7,-1.8000000000000007
20 - 29,CH,202140,1108,TRUE,151696,0.174,17.4,1027732,107.81,14760.27,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-32,-3.11,-2.8,2.5
30 - 39,CH,202140,1076,TRUE,145835,0.169,16.900000000000002,1254957,85.74,11620.72,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-233,-18.57,-17.8,-0.1999999999999993
40 - 49,CH,202140,968,TRUE,133449,0.152,15.2,1205539,80.3,11069.65,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-247,-20.48,-20.3,-0.7000000000000011
50 - 59,CH,202140,753,TRUE,128595,0.118,11.799999999999999,1300012,57.92,9891.83,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-108,-8.31,-12.5,0.4999999999999982
60 - 69,CH,202140,367,TRUE,70205,0.058,5.800000000000001,991217,37.03,7082.71,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-106,-10.69,-22.4,-0.39999999999999947
70 - 79,CH,202140,246,TRUE,42823,0.039,3.9,744449,33.04,5752.31,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,6,0.8,2.5,0.7999999999999998
80+,CH,202140,189,TRUE,46394,0.03,3,471987,40.04,9829.51,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,7,1.48,3.8,0.6000000000000001
Unbekannt,CH,202140,1,TRUE,177,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-40,-6,NA,-85.7,-0.1
0 - 9,CH,202141,465,TRUE,28634,0.072,7.199999999999999,883904,52.61,3239.49,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,-91,-10.29,-16.4,-1.5
10 - 19,CH,202141,1001,TRUE,101150,0.156,15.6,858994,116.53,11775.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,-106,-12.34,-9.6,-1.799999999999999
20 - 29,CH,202141,1089,TRUE,152785,0.17,17,1027732,105.96,14866.23,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,-19,-1.85,-1.7,-0.3999999999999986
30 - 39,CH,202141,1136,TRUE,146971,0.177,17.7,1254957,90.52,11711.24,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,60,4.78,5.6,0.7999999999999972
40 - 49,CH,202141,1008,TRUE,134457,0.157,15.7,1205539,83.61,11153.27,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,40,3.31,4.1,0.5
50 - 59,CH,202141,816,TRUE,129411,0.127,12.7,1300012,62.77,9954.6,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,63,4.85,8.4,0.9000000000000004
60 - 69,CH,202141,429,TRUE,70634,0.067,6.7,991217,43.28,7125.99,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,62,6.25,16.9,0.8999999999999995
70 - 79,CH,202141,223,TRUE,43046,0.035,3.5000000000000004,744449,29.96,5782.26,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,-23,-3.08,-9.3,-0.39999999999999947
80+,CH,202141,252,TRUE,46646,0.039,3.9,471987,53.39,9882.9,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,63,13.35,33.3,0.8999999999999999
Unbekannt,CH,202141,2,TRUE,179,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-41,1,NA,100,0
0 - 9,CH,202142,548,TRUE,29182,0.063,6.3,883904,62,3301.49,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,83,9.39,17.8,-0.8999999999999995
10 - 19,CH,202142,1306,TRUE,102456,0.15,15,858994,152.04,11927.44,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,305,35.51,30.5,-0.5999999999999996
20 - 29,CH,202142,1410,TRUE,154195,0.162,16.2,1027732,137.2,15003.43,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,321,31.24,29.5,-0.8000000000000007
30 - 39,CH,202142,1559,TRUE,148530,0.179,17.9,1254957,124.23,11835.47,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,423,33.71,37.2,0.1999999999999993
40 - 49,CH,202142,1383,TRUE,135840,0.159,15.9,1205539,114.72,11267.99,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,375,31.11,37.2,0.20000000000000107
50 - 59,CH,202142,1178,TRUE,130589,0.135,13.5,1300012,90.61,10045.21,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,362,27.84,44.4,0.8000000000000007
60 - 69,CH,202142,613,TRUE,71247,0.07,7.000000000000001,991217,61.84,7187.83,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,184,18.56,42.9,0.3000000000000007
70 - 79,CH,202142,366,TRUE,43412,0.042,4.2,744449,49.16,5831.43,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,143,19.2,64.1,0.6999999999999997
80+,CH,202142,331,TRUE,46977,0.038,3.8,471987,70.13,9953.03,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,79,16.74,31.3,-0.10000000000000009
Unbekannt,CH,202142,2,TRUE,181,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-42,0,NA,0,0
0 - 9,CH,202143,994,TRUE,30176,0.086,8.6,883904,112.46,3413.95,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,446,50.46,81.4,2.3
10 - 19,CH,202143,1936,TRUE,104392,0.168,16.8,858994,225.38,12152.82,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,630,73.34,48.2,1.8000000000000007
20 - 29,CH,202143,1613,TRUE,155808,0.14,14.000000000000002,1027732,156.95,15160.37,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,203,19.75,14.4,-2.1999999999999975
30 - 39,CH,202143,1961,TRUE,150491,0.17,17,1254957,156.26,11991.73,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,402,32.03,25.8,-0.8999999999999986
40 - 49,CH,202143,1775,TRUE,137615,0.154,15.4,1205539,147.24,11415.23,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,392,32.52,28.3,-0.5
50 - 59,CH,202143,1434,TRUE,132023,0.124,12.4,1300012,110.31,10155.52,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,256,19.7,21.7,-1.0999999999999996
60 - 69,CH,202143,825,TRUE,72072,0.072,7.199999999999999,991217,83.23,7271.06,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,212,21.39,34.6,0.1999999999999984
70 - 79,CH,202143,548,TRUE,43960,0.047,4.7,744449,73.61,5905.04,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,182,24.45,49.7,0.5
80+,CH,202143,448,TRUE,47425,0.039,3.9,471987,94.92,10047.95,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,117,24.79,35.3,0.10000000000000009
Unbekannt,CH,202143,3,TRUE,184,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-43,1,NA,50,0
0 - 9,CH,202144,1824,TRUE,32000,0.106,10.6,883904,206.36,3620.3,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,830,93.9,83.5,2
10 - 19,CH,202144,3164,TRUE,107556,0.184,18.4,858994,368.34,12521.16,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,1228,142.96,63.4,1.5999999999999979
20 - 29,CH,202144,2393,TRUE,158201,0.139,13.900000000000002,1027732,232.84,15393.22,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,780,75.89,48.4,-0.09999999999999964
30 - 39,CH,202144,2663,TRUE,153154,0.155,15.5,1254957,212.2,12203.92,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,702,55.94,35.8,-1.5
40 - 49,CH,202144,2641,TRUE,140256,0.153,15.299999999999999,1205539,219.07,11634.3,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,866,71.83,48.8,-0.10000000000000142
50 - 59,CH,202144,2010,TRUE,134033,0.117,11.700000000000001,1300012,154.61,10310.14,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,576,44.3,40.2,-0.6999999999999993
60 - 69,CH,202144,1144,TRUE,73216,0.066,6.6000000000000005,991217,115.41,7386.48,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,319,32.18,38.7,-0.5999999999999988
70 - 79,CH,202144,748,TRUE,44708,0.043,4.3,744449,100.48,6005.52,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,200,26.87,36.5,-0.40000000000000036
80+,CH,202144,635,TRUE,48060,0.037,3.6999999999999997,471987,134.54,10182.48,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,187,39.62,41.7,-0.20000000000000018
Unbekannt,CH,202144,3,TRUE,187,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-44,0,NA,0,0
0 - 9,CH,202145,2852,TRUE,34852,0.115,11.5,883904,322.66,3942.96,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,1028,116.3,56.4,0.9000000000000004
10 - 19,CH,202145,4739,TRUE,112295,0.19,19,858994,551.69,13072.85,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,1575,183.35,49.8,0.6000000000000014
20 - 29,CH,202145,3153,TRUE,161354,0.127,12.7,1027732,306.79,15700.01,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,760,73.95,31.8,-1.2000000000000028
30 - 39,CH,202145,3888,TRUE,157042,0.156,15.6,1254957,309.81,12513.74,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,1225,97.61,46,0.09999999999999964
40 - 49,CH,202145,3818,TRUE,144074,0.153,15.299999999999999,1205539,316.7,11951,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,1177,97.63,44.6,0
50 - 59,CH,202145,2930,TRUE,136963,0.118,11.799999999999999,1300012,225.38,10535.52,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,920,70.77,45.8,0.09999999999999787
60 - 69,CH,202145,1625,TRUE,74841,0.065,6.5,991217,163.94,7550.42,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,481,48.53,42,-0.10000000000000053
70 - 79,CH,202145,1050,TRUE,45758,0.042,4.2,744449,141.04,6146.56,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,302,40.56,40.4,-0.09999999999999964
80+,CH,202145,822,TRUE,48882,0.033,3.3000000000000003,471987,174.16,10356.64,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,187,39.62,29.4,-0.39999999999999947
Unbekannt,CH,202145,4,TRUE,191,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-45,1,NA,33.3,0
0 - 9,CH,202146,4474,TRUE,39326,0.119,11.899999999999999,883904,506.16,4449.13,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,1622,183.5,56.9,0.3999999999999986
10 - 19,CH,202146,7243,TRUE,119538,0.192,19.2,858994,843.2,13916.05,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,2504,291.51,52.8,0.1999999999999993
20 - 29,CH,202146,4543,TRUE,165897,0.12,12,1027732,442.04,16142.05,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,1390,135.25,44.1,-0.6999999999999993
30 - 39,CH,202146,5833,TRUE,162875,0.155,15.5,1254957,464.8,12978.53,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,1945,154.99,50,-0.09999999999999964
40 - 49,CH,202146,5903,TRUE,149977,0.156,15.6,1205539,489.66,12440.66,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,2085,172.96,54.6,0.3000000000000007
50 - 59,CH,202146,4474,TRUE,141437,0.119,11.899999999999999,1300012,344.15,10879.67,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,1544,118.77,52.7,0.09999999999999964
60 - 69,CH,202146,2449,TRUE,77290,0.065,6.5,991217,247.07,7797.49,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,824,83.13,50.7,0
70 - 79,CH,202146,1592,TRUE,47350,0.042,4.2,744449,213.85,6360.41,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,542,72.81,51.6,0
80+,CH,202146,1206,TRUE,50088,0.032,3.2,471987,255.52,10612.16,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,384,81.36,46.7,-0.10000000000000009
Unbekannt,CH,202146,11,TRUE,202,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-46,7,NA,175,0
0 - 9,CH,202147,6525,TRUE,45851,0.128,12.8,883904,738.2,5187.33,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,2051,232.04,45.8,0.9000000000000021
10 - 19,CH,202147,10311,TRUE,129849,0.202,20.200000000000003,858994,1200.36,15116.4,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,3068,357.16,42.4,1.0000000000000036
20 - 29,CH,202147,5648,TRUE,171545,0.111,11.1,1027732,549.56,16691.61,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,1105,107.52,24.3,-0.9000000000000004
30 - 39,CH,202147,7772,TRUE,170647,0.152,15.2,1254957,619.3,13597.84,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,1939,154.5,33.2,-0.3000000000000007
40 - 49,CH,202147,8054,TRUE,158031,0.158,15.8,1205539,668.08,13108.74,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,2151,178.42,36.4,0.20000000000000107
50 - 59,CH,202147,5775,TRUE,147212,0.113,11.3,1300012,444.23,11323.9,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,1301,100.08,29.1,-0.5999999999999979
60 - 69,CH,202147,3337,TRUE,80627,0.065,6.5,991217,336.66,8134.14,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,888,89.59,36.3,0
70 - 79,CH,202147,2014,TRUE,49364,0.039,3.9,744449,270.54,6630.94,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,422,56.69,26.5,-0.30000000000000027
80+,CH,202147,1650,TRUE,51738,0.032,3.2,471987,349.59,10961.74,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,444,94.07,36.8,0
Unbekannt,CH,202147,8,TRUE,210,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-47,-3,NA,-27.3,0
0 - 9,CH,202148,8336,TRUE,54187,0.132,13.200000000000001,883904,943.09,6130.42,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,1811,204.89,27.8,0.40000000000000036
10 - 19,CH,202148,12436,TRUE,142285,0.197,19.7,858994,1447.74,16564.14,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,2125,247.38,20.6,-0.5000000000000036
20 - 29,CH,202148,7086,TRUE,178631,0.112,11.200000000000001,1027732,689.48,17381.09,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,1438,139.92,25.5,0.10000000000000142
30 - 39,CH,202148,9795,TRUE,180442,0.155,15.5,1254957,780.5,14378.34,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,2023,161.2,26,0.3000000000000007
40 - 49,CH,202148,10277,TRUE,168308,0.163,16.3,1205539,852.48,13961.22,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,2223,184.4,27.6,0.5
50 - 59,CH,202148,7323,TRUE,154535,0.116,11.600000000000001,1300012,563.3,11887.2,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,1548,119.07,26.8,0.3000000000000007
60 - 69,CH,202148,3875,TRUE,84502,0.061,6.1,991217,390.93,8525.08,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,538,54.27,16.1,-0.40000000000000036
70 - 79,CH,202148,2187,TRUE,51551,0.035,3.5000000000000004,744449,293.77,6924.72,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,173,23.23,8.6,-0.39999999999999947
80+,CH,202148,1731,TRUE,53469,0.027,2.7,471987,366.75,11328.49,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,81,17.16,4.9,-0.5
Unbekannt,CH,202148,17,TRUE,227,0,0,NA,NA,NA,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-48,9,NA,112.5,0
0 - 9,CH,202149,9031,TRUE,63218,0.14,14.000000000000002,883904,1021.72,7152.13,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-49,695,78.63,8.3,0.8000000000000007
10 - 19,CH,202149,11375,TRUE,153660,0.177,17.7,858994,1324.22,17888.37,COVID19Cases,altersklasse_covid19,2023-05-09_06-03-10,isoweek,2021-49,-1061,-123.52,-8.5,-2
